Running comparison with improved Mermaid outputs...
Evaluating NFT vs groundT...
File 19: Levenshtein=51.30%, Jaccard=91.67%, Cosine=98.73%
File 20: Levenshtein=66.31%, Jaccard=95.52%, Cosine=97.96%
File 21: Levenshtein=29.69%, Jaccard=91.94%, Cosine=98.19%
File 22: Levenshtein=79.51%, Jaccard=93.33%, Cosine=98.17%
File 23: Levenshtein=61.78%, Jaccard=92.45%, Cosine=97.10%
File 24: Levenshtein=31.06%, Jaccard=81.82%, Cosine=98.17%
File 25: Levenshtein=31.28%, Jaccard=87.88%, Cosine=97.52%
File 26: Levenshtein=43.58%, Jaccard=86.89%, Cosine=95.46%
File 27: Levenshtein=72.38%, Jaccard=88.68%, Cosine=96.79%
File 28: Levenshtein=81.58%, Jaccard=90.00%, Cosine=95.55%
File 29: Levenshtein=69.00%, Jaccard=85.45%, Cosine=98.26%
File 30: Levenshtein=32.69%, Jaccard=61.84%, Cosine=87.06%
File 31: Levenshtein=87.13%, Jaccard=95.24%, Cosine=98.86%
File 32: Levenshtein=62.50%, Jaccard=92.86%, Cosine=98.19%
File 33: Levenshtein=26.81%, Jaccard=92.19%, Cosine=95.96%
File 34: Levenshtein=62.05%, Jaccard=93.65%, Cosine=96.27%
File 35: Levenshtein=69.30%, Jaccard=93.65%, Cosine=98.11%
File 36: Levenshtein=40.82%, Jaccard=80.33%, Cosine=94.74%
File 37: Levenshtein=33.49%, Jaccard=91.67%, Cosine=89.30%
File 38: Levenshtein=53.60%, Jaccard=95.00%, Cosine=93.81%
File 39: Levenshtein=84.12%, Jaccard=90.38%, Cosine=98.11%
File 40: Levenshtein=36.20%, Jaccard=96.83%, Cosine=93.13%
File 41: Levenshtein=48.77%, Jaccard=92.54%, Cosine=98.07%
File 42: Levenshtein=51.13%, Jaccard=95.52%, Cosine=97.83%
File 43: Levenshtein=47.51%, Jaccard=71.62%, Cosine=90.45%
File 44: Levenshtein=73.04%, Jaccard=93.33%, Cosine=97.20%
File 45: Levenshtein=68.66%, Jaccard=95.45%, Cosine=99.32%
File 46: Levenshtein=59.73%, Jaccard=83.82%, Cosine=96.62%
File 47: Levenshtein=64.78%, Jaccard=83.33%, Cosine=98.07%
File 48: Levenshtein=41.41%, Jaccard=83.87%, Cosine=97.11%
File 49: Levenshtein=59.73%, Jaccard=95.38%, Cosine=97.74%
File 50: Levenshtein=21.39%, Jaccard=85.48%, Cosine=96.61%
File 51: Levenshtein=41.70%, Jaccard=92.65%, Cosine=97.64%
File 52: Levenshtein=54.78%, Jaccard=87.30%, Cosine=95.40%
File 53: Levenshtein=39.77%, Jaccard=93.55%, Cosine=94.18%
File 54: Levenshtein=85.16%, Jaccard=92.86%, Cosine=98.64%
File 55: Levenshtein=34.56%, Jaccard=86.49%, Cosine=97.01%
File 56: Levenshtein=91.73%, Jaccard=93.22%, Cosine=98.66%
File 57: Levenshtein=30.04%, Jaccard=87.30%, Cosine=97.29%
File 58: Levenshtein=35.83%, Jaccard=96.88%, Cosine=96.05%
File 59: Levenshtein=48.32%, Jaccard=90.62%, Cosine=97.37%
File 60: Levenshtein=36.95%, Jaccard=74.32%, Cosine=89.05%
File 61: Levenshtein=83.68%, Jaccard=94.20%, Cosine=98.80%
File 62: Levenshtein=31.97%, Jaccard=93.94%, Cosine=97.55%
File 63: Levenshtein=28.04%, Jaccard=90.62%, Cosine=97.24%
File 64: Levenshtein=66.91%, Jaccard=95.52%, Cosine=98.42%
File 65: Levenshtein=30.12%, Jaccard=95.00%, Cosine=92.36%

Evaluating improved Mermaid outputs vs groundT...
Warning: Could not get improved results, continuing without them
Error: Could not get results for comparison
